wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A
1780256741228,0.007,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.013,0.463,0.000,0.130,0.593
1780256741261,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.447,0.000,0.122,0.569
1780256741302,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256741356,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256741387,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256741427,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.455,0.000,0.122,0.577
1780256741466,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256741555,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.455,0.000,0.122,0.577
1780256741607,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.130,0.585
1780256741657,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256741698,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256741742,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256741773,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256741814,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.130,0.593
1780256741852,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256741888,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256741919,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.447,0.000,0.130,0.577
1780256741958,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.130,0.585
1780256742003,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.130,0.593
1780256742095,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.130,0.610
1780256742175,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.480,0.000,0.130,0.610
1780256742207,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256742249,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.455,0.000,0.130,0.585
1780256742279,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256742330,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256742360,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.488,0.000,0.122,0.610
1780256742399,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.122,0.585
1780256742432,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.122,0.585
1780256742483,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256742520,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.122,0.585
1780256742617,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.009,0.463,0.000,0.122,0.585
1780256742687,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.472,0.000,0.122,0.594
1780256742724,0.000,0.003,0.003,0.000,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.130,0.585
1780256742789,0.000,0.000,0.003,0.003,0.000,0.000,0.007,0.000,0.013,0.455,0.000,0.122,0.577
1780256742823,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.122,0.577
1780256742867,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256742921,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256742953,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.130,0.585
1780256742995,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.447,0.000,0.130,0.577
1780256743029,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.455,0.000,0.122,0.577
1780256743129,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.122,0.585
1780256743188,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.122,0.602
1780256743216,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256743262,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.122,0.585
1780256743299,0.000,0.000,0.003,0.003,0.000,0.000,0.007,0.000,0.013,0.463,0.000,0.130,0.593
1780256743344,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.122,0.602
1780256743390,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.009,0.463,0.000,0.122,0.585
1780256743422,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.122,0.585
1780256743458,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.130,0.585
1780256743491,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256743545,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.455,0.000,0.122,0.577
1780256743634,0.000,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.010,0.472,0.000,0.130,0.602
1780256743707,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.130,0.593
1780256743735,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256743772,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.130,0.593
1780256743809,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.003,0.015,0.455,0.000,0.130,0.585
1780256743862,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.130,0.610
1780256743892,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256743932,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.480,0.000,0.122,0.602
1780256743962,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.122,0.577
1780256744007,0.000,0.003,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.472,0.000,0.122,0.594
1780256744038,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.130,0.593
1780256744077,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256744172,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256744234,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.122,0.577
1780256744264,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256744308,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.447,0.000,0.130,0.577
1780256744356,0.003,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.015,0.472,0.000,0.130,0.602
